Country,Company Name,Company ID 1,Company ID 2,Company ID 3,Company ID 4,Country,ZIP Code
ES,Universidad Politécnica de Madrid Att.: Luis Narvarte (913365531),Q2818015F,,,ESQ2818015F,MADRID,28040
ES,"GARCÍA FERRERO HNOS, S.L ",B49016900,,,,BENAVENTE,49600
ES,"INSTALACIONES DINER, S.A. ",A13418694,,,,TOMELLOSO,13700
ES,"INSTALACIONES ELECTRICAS SCORPIO, S ",A48961494,,,ESA48961494,LOIU,48180
ES,"INSTALACIONES NEILA, S.L. ",B09454547,,,,ZUZONES,9491
ES,"INSTALACIONES PEVAFERSA, S.L. ",B49168461,,,,TORO,49800
ES,INSTALADORA ELÉCTRICA FUERTEVENTURA .,B35110469,,,,PUERTO DEL ROSARIO,35600
ES,INSTITUT D'EDUCACIÓ SECUNDARIA ESTELA IBÈRICA,Q5856267I,,,,SANTA PERPETUA DE MOGODA,8130
ES,"INTEGRAL DE SISTEMAS ENERGÉTICOS DEL NORTE, S.L.",B09392580,,,ESB09392580,BURGOS,9001
ES,"INDUS. NAVARRAS PLASTICO REFORZADO, ",B31216435,,,ESB31216435,31570 SAN ADRIAN,31570
ES,"INDUSTRIAS DEL CAUCHO, S.L. ",B31001290,,,ESB31001290,ARTICA,31013
ES,"INGENIERIA AVANZADA SOLAR, SL ",B63807937,,,ESB63807937,SANT CUGAT DEL VALLES,8173
ES,"INGENIERÍA Y APLICACIONES SOLARES, ",B99068405,,,ESB99068405,ZARAGOZA,50012
ES,"INGENIERIA Y MONTAJES EXTREMEÑOS, S ",B10207272,,,ESB10207272,CACERES,10003
ES,"INGHELIOS, S.L. ",B45543394,,,ESB45543394,Alcorcón,28925
ES,URIEL RENOVABLES SA,A31224314,,,ESA31224314,MADRID,28036
ES,"JUNEDA SOLAR 2007,S.L ",B25626789,,,,JUNEDA,25430
ES,"KYOTECH, S.L. ",B84869346,,,,Leganés,28914
ES,"L.SOL SOLUCIONES ENERGÉTICAS, S.L. ",B31880339,,,,TUDELA,31500
ES,"INYCIA CONSULTORES, S.L. Félix Campanario 639378651",B16221764,,,,TARANCON,16400
ES,"IRRADIA INGENIERIA SOLAR, S.L. ",B91631549,,,,SEVILLA,41004
ES,"ISOFOTON, S.A. ",A29072931,,,,MADRID,28046
ES,ISOLUX INGENIERIA SA,A84523539,,,ESA84523539,MADRID,28021
ES,"ISTEM, S.L.U. ",B43331412,,,ESB43331412,BARCELONA,8014
ES,JESUS YUSTE BLAZQUEZ,01099419L,,,,CADALSO DE LOS VIDRIOS,28640
ES,"GIROA, S.A.U. ",A20071429,,,ESA20071429,20018 San Sebastián,20018
ES,GLOBAL ENERGY SERVICES SIEMSA SA,A82509779,,,ESA82509779,ZAMUDIO,48170
ES,GRUPO GRANSOLAR SL,B04545323,,,ESB04545323,Madrid,28034
ES,"GESTION DE RECURSOS Y SOLUCIONES EM PRESARIALES, SL",B31659873,,,ESB31659873,Pamplona,31006
ES,GRUPO ELECTRO STOCKS SLU,B64471840,,,ESB64471840,Sant Cugat Del Vallès,8195
ES,"GT-GENERA RENOVABLES, S.L.U ",B97466981,,,ESB97466981,VALENCIA,46011
ES,"GUASCOR FOTON, S.L. ",B01380229,,,,ORTUELLA,48530
ES,"Dresser-Rand Guascor Solar, S.A.U. ",A01378942,,,ESA01378942,Derio,1510
ES,GUERIN SAU,A08178097,,,ESA08178097,BARCELONA,8010
ES,SIEMENS GAMESA RENEWABLE ENERGY INN OVATION & TECHNOLOGY SL,B31890205,,,ESB31890205,SARRIGUREN,31621
ES,GAMO ENERGIAS SL,B37415239,,,ESB37415239,CARBAJOSA DE LA SAGRADA,37188
ES,"GANADOS BARBERENA, S.L.U ",B31782006,,,ESB31782006,VILLAFRANCA,31330
ES,GAPI MANTENIMIENTO SL,B31583727,,,,TAJONAR,31192
ES,NATURGY ENERGY GROUP SA,A08015497,,,ESA08015497,MADRID,28033
ES,COMERCIAL GAZPI SA,A31035033,,,ESA31035033,TAJONAR,31192
ES,"GENYAL ENERGIA, S.L. ",B36909695,,,,VIGO,36204
ES,"GESERV, S.L. ",B80221716,,,,MADRID,28037
ES,"Gest Amb. Viv y Repobl de Navarra,S ",A31112501,,,ESA31112501,PAMPLONA,31015
ES,"GESTIÓN DE ENERGÍA IRUÑAMENDI, S.L. ",B31917081,,,,ANSOAIN,31013
ES,HUERTO SOLAR PINILLA SL,B13466651,,,,TOMELLOSO,13700
ES,I-DE REDES ELECTRICAS INTELIGENTES SA,A95075578,,A95075578,ESA95075578,BILBAO,48003
ES,IBERDROLA RENOVABLES CASTILLA LA MANCHA SA,A45445210,,A45445210,ESA45445210,TOLEDO,45003
ES,"IBERDROLA GENERACIÓN, S.A. ",A95075586,,A95075586,ESA95075586,BILBAO,48009
ES,IBERDROLA INGENIERIA Y CONSTRUCCION SA,A48700561,,A48700561,ESA48700561,BILBAO,48003
ES,"IBERSOLAR ENERGÍA, S.A. ",A62265434,,,,GAVÁ,8850
ES,INGENIERIA INSTALACION Y DESARROLLO SOLAR SA,A91379214,,,,SEVILLA,41011
ES,"IGOAN SOLAR, S.L. ",B01261841,,,,MIÑANO,1510
ES,"IMMODO RENTASOL, S.L. ",B02438273,,,,ALBACETE,2001
ES,IMMODO SOLAR SA,A16238495,,,ESA16238495,ALBACETE,2007
ES,"HELIONOVA, S.L. ",B15782931,,,,TEO,15895
ES,"HELIOSILICE, S.L. ",B53986089,,,,PETREL,3610
ES,"HELLÍN SOLAR, S.L. Polígono Industrial Garachico",B53982344,,,,ALICANTE,3112
ES,"EDP España, S.A.U. ",A33473752,,,ESA33473752,OVIEDO,33007
ES,"HIDROJERTE, S.L.U. ",B10304269,,,,10001 CACERES,10001
ES,COMERCIAL HISPANOFIL SAU,A48116404,,,ESA48116404,BURGOS,9007
ES,"HISPASOLEO ENERGÍAS RENOVABLES, S.L ",B84735000,,,,28020 MADRID,28020
ES,"Montesol Energías, S.L. ",B97532402,,,,PATERNA,46980
ES,"LUMALUX INSTALACIONES ELECTRICAS, S L",B35880202,,,,35430 FIRGAS,35430
ES,COBRA INSTALACIONES Y SERVICIOS SA,A46146387,,,ESA46146387,MADRID,28016
ES,"COENER SYSTEMS, SL ",B01267913,,,ESB01267913,01015 VITORIA,1015
ES,"COOPERALIA SINERGIAS, S.L. ",B63754501,,,,SANT CUGAT DEL VALLÉS,8172
ES,"COREMOSA ENERGIAS RENOVABLES, S.A. ",A99032864,,,ESA99032864,50259 POMER,50259
ES,"CROSSFIRE TRADE, S.L. ",B64136518,,,,LA POBLA DE VALLBONA,46185
ES,"CUETO SOLAR, S.L. 636 350 222",B24566317,,,,Golpejar de la Sobarriba,24195
ES,"DENERSA, S.L. ",B09346057,,,ESB09346057,BURGOS,9004
ES,"PROMASOL, S.L. ",B29894698,,,ESB29894698,MALAGA,29004
ES,"Promociones y Proyectos Modolell,SL ",B58964024,,,,GRANOLLERS,8400
ES,"PROMOCIONS INVERSOLAR 65, S.L. Att: Josep Berengué",B25546276,,,ESB25546276,TÁRREGA,25300
ES,RIOS RENOVABLES SLU,B31745177,,,ESB31745177,FUSTIÑANA-NAVARRA,31510
ES,"PROYECTIA, DESARROLLO Y APOYO A PRO S, S.L.",B25509688,,,ESB25509688,LLEIDA,25003
ES,"QOHELET SOLAR, S.A. ",A84355742,,,ESA84355742,MADRID,28014
ES,QUERCU SOLAR,B16243800,,,,CUENCA,16004
ES,"RAMOS SIERRA, S.A. ",A28422335,,,ESA28422335,LEGANES,28914
